date,population,admission,release
2022-01-24,105209.77017294486,1460.523443662653,2714.817749636246
2022-01-25,104692.80920030462,2197.6067769959864,2411.3177496362455
2022-01-26,104599.84822766436,2318.3567769959864,2653.0177496362453
2022-01-27,104334.78725502409,2455.4567769959863,2456.0177496362453
2022-01-28,104315.22628238384,2436.4567769959863,2210.5811581575485
2022-01-29,104599.87307916714,2495.227954940848,1118.5811581575492
2022-01-30,105383.51987595044,1900.5612882741818,1240.581158157549
2022-01-31,105605.66667273376,1537.2279549408488,2817.3311581575485
2022-02-01,105201.81346951706,2415.227954940848,2849.0811581575485
2022-02-02,105018.46026630033,2664.811288274181,2503.2478248242155
2022-02-03,104679.89039641696,2165.4779549408486,2090.5478248242152
2022-02-04,104677.32052653361,2087.9779549408486,1791.5478248242157
2022-02-05,105200.4173233169,2314.644621607515,1095.047824824216
2022-02-06,105981.0141201002,1875.644621607515,1271.5478248242157
2022-02-07,106288.11091688351,1578.644621607515,2960.914491490882
2022-02-08,106029.0077136668,2700.0612882741816,2822.914491490882
2022-02-09,105806.90451045011,2602.3112882741816,2859.914491490882
2022-02-10,105769.40130723339,2821.577954940848,2698.2478248242155
2022-02-11,105785.23143735003,2714.077954940848,2464.981192047583
2022-02-12,106084.57870381065,2781.7942357777515,1269.9469693171345
2022-02-13,106651.42597027127,1836.794235777752,1494.9469693171345
2022-02-14,106815.77323673188,1660.2942357777517,2948.652448769189
2022-02-15,106286.51593698247,2438.3768841795786,2899.1341839290067
2022-02-16,106191.75863723304,2804.376884179578,2807.6341839290067
2022-02-17,106182.00133748358,2799.376884179578,2666.6341839290067
2022-02-18,105968.24403773418,2451.3768841795786,2654.6341839290067
2022-02-19,106087.48673798474,2775.376884179578,1301.1341839290067
2022-02-20,106758.72943823531,1971.3768841795786,1357.8008505956734
2022-02-21,107141.97213848591,1742.3768841795786,1718.8273084953325
2022-02-22,107292.40544422113,1953.099641895209,3147.6663361599776
2022-02-23,106725.83874995634,2579.7663085618756,2834.999669493311
2022-02-24,106401.93872235825,2511.099641895209,2773.833002826645
2022-02-25,106035.03869476014,2407.7663085618756,2680.809193302835
2022-02-26,106092.47200049537,2738.432975228542,1263.1663361599778
2022-02-27,106810.23863956396,1981.599641895209,1401.3330028266446
2022-02-28,107026.50527863251,1617.0996418952088,3269.999669493311
2022-03-01,106386.43858436774,2628.5996418952086,2749.999669493311
2022-03-02,106451.87189010298,2816.099641895209,2918.3422109297753
2022-03-03,106248.63944998184,2768.8114282672163,2905.377201721672
2022-03-04,106204.90700986069,2860.7876187434067,2650.077201721672
2022-03-05,106700.67456973961,3144.39476160055,1301.9943538252319
2022-03-06,107467.23080275764,2069.548645095695,1600.659078744326
2022-03-07,107680.12036910903,1814.548645095695,3118.659078744326
2022-03-08,107056.50993546039,2494.2153117623616,2987.159078744326
2022-03-09,106715.87569228793,2645.7581689052186,3011.492412077659
2022-03-10,106446.24144911549,2741.858168905219,2772.241920918523
2022-03-11,106207.80170496074,2660.5526679229006,2632.492412077659
2022-03-12,106256.19529413931,2680.886001256234,1189.5753060436814
2022-03-13,106058.8191117889,1702.6215021349688,1426.497684485392
2022-03-14,106293.94292943846,1661.6215021349688,3111.497684485392
2022-03-15,105711.06674708803,2528.621502134969,2877.2119701996776
2022-03-16,105541.90485045192,2708.55007356354,2684.2119701996776
2022-03-17,105491.74295381577,2633.55007356354,2850.7119701996776
2022-03-18,105495.74772384629,2856.216740230207,2564.5453035330106
2022-03-19,105643.9191605435,2712.716740230207,1243.045303533011
2022-03-20,106343.59059724068,1942.7167402302066,1354.0453035330113
2022-03-21,106622.5953672712,1633.05007356354,3304.2119701996776
2022-03-22,106169.10013730174,2850.7167402302066,2935.1643511520588
2022-03-23,105915.41443114179,2681.4786449921116,2828.1643511520588
2022-03-24,105775.22872498186,2686.145311658778,2927.527926420876
2022-03-25,105512.80914785418,2680.9114406910358,2442.358554050609
2022-03-26,105825.7229040598,2755.272310256253,3178.85855405061
2022-03-27,104579.13666026545,1932.2723102562536,1534.8585540506092
2022-03-28,104710.05041647112,1663.5223102562536,2924.8585540506097
2022-03-29,104278.69913508274,2493.5072726622684,2471.025220717276
2022-03-30,104208.34785369442,2402.0072726622684,2633.025220717276
2022-03-31,104065.99657230607,2490.6739393289354,2872.150220717276
2022-04-01,103945.52029091772,2750.340605995602,2809.150220717276
2022-04-02,104063.54400952939,2928.1739393289354,1263.150220717276
2022-04-03,104614.56772814106,1812.6739393289354,1254.650220717276
2022-04-04,105087.09144675269,1729.673939328935,3108.2045064315616
2022-04-05,104567.21802250722,2623.764415519411,2776.971173098229
